timestamp,actual_power,ideal_power,deficit,deficit_trend,performance_ratio,cumulative_deficit
2021-06-10,1416.451171875,577.3408578139671,-839.1103140610329,-4669.440010061863,-1.0813834980033004,-2132114.900702709
2021-06-11,2667.232421875,1119.0258703948828,-1548.2065514801175,-4669.460238745838,-3.1775985020936637,-2133663.107254189
2021-06-12,3107.205078125,524.0355415578541,-2583.1695365671458,-4669.480467429812,0.8618618808806767,-2136246.2767907563
2021-06-13,3913.0537109375,539.8228663655306,-3373.230844571969,-4669.500696113786,-1.6127659146946787,-2139619.5076353285
2021-06-14,3428.94140625,743.9364887775275,-2685.0049174724727,-4669.52092479776,-1.0531729288563603,-2142304.512552801
2021-06-15,3467.9482421875,603.4632119839823,-2864.4850302035175,-4669.541153481734,0.5829738437121759,-2145168.9975830046
2021-06-16,3128.1904296875,618.5050191267535,-2509.6854105607463,-4669.561382165708,-3.5364616455739495,-2147678.682993565
2021-06-17,3106.5380859375,433.5420744627836,-2672.9960114747164,-4669.581610849682,1.5989221181379294,-2150351.67900504
2021-06-18,1901.83203125,650.5476014767135,-1251.2844297732865,-4669.601839533657,-0.2872820883878394,-2151602.963434813
2021-06-19,4974.94921875,1258.8194080002345,-3716.1298107497655,-4669.622068217631,-7.902796113562405,-2155319.0932455626
2021-06-20,5885.642578125,1458.5087405993204,-4427.133837525679,-4669.642296901605,6.477028593598556,-2159746.2270830884
2021-06-21,5969.7822265625,1441.8443259600372,-4527.937900602463,-4669.662525585579,12.16565323232777,-2164274.1649836907
2021-06-22,4676.1875,1036.2295510751408,-3639.957948924859,-4669.682754269553,0.4690696353735945,-2167914.1229326157
2021-06-23,2406.9013671875,-52.15001522458246,-2459.0513824120826,-4669.702982953527,-13.280056977809707,-2170373.174315028
2021-06-24,4285.005859375,687.5971373086304,-3597.4087220663696,-4669.723211637501,1.9846757123296128,-2173970.583037094
2021-06-25,2058.7421875,331.10882495103084,-1727.6333625489692,-4669.743440321476,1.6412737520005138,-2175698.216399643
2021-06-26,3151.51953125,707.1047745881218,-2444.414756661878,-4669.76366900545,-4.625225024709711,-2178142.631156305
2021-06-27,4500.20703125,550.2986967151609,-3949.908334534839,-4669.783897689424,1.2309098414678117,-2182092.5394908395
2021-06-28,6027.2470703125,1027.175317022516,-5000.071753289984,-4669.804126373398,-106.72072309860582,-2187092.6112441295
2021-06-29,5593.3310546875,1298.8945474016596,-4294.436507285841,-4669.824355057372,6.319854180734322,-2191387.0477514155
2021-06-30,4806.0830078125,905.4825685041594,-3900.6004393083404,-4669.844583741346,-2.5316775725194534,-2195287.6481907237
2021-07-01,5802.613494946709,949.7842427999551,-4852.829252146754,-4669.8648124253195,-1.5803224475232642,-2200140.4774428704
2021-07-02,2924.2570873453806,277.38282297050455,-2646.874264374876,-4669.885041109294,2.372291163444213,-2202787.351707245
2021-07-03,4787.262946720381,677.9674299236218,-4109.295516796758,-4669.905269793268,-5.821318256366163,-2206896.647224042
2021-07-04,3535.1008373453806,598.6203130639016,-2936.480524281479,-4669.925498477242,-7.870680486369599,-2209833.1277483236
2021-07-05,3567.741462345395,690.6857916656331,-2877.055670679762,-4669.945727161216,-2.6176013270582525,-2212710.183419003
2021-07-06,3373.2626608066785,522.9051753719405,-2850.357485434738,-4669.96595584519,0.33797061611076906,-2215560.5409044377
2021-07-07,3703.54238469564,1031.2769707814332,-2672.265413914207,-4669.986184529164,9.014888682702987,-2218232.806318352
2021-07-08,4983.47207219564,1311.01694823552,-3672.45512396012,-4670.006413213138,6.28829225394952,-2221905.261442312
2021-07-09,5861.933106237935,1386.0568204122133,-4475.876285825721,-4670.026641897113,6.225338891592787,-2226381.137728138
2021-07-10,0.0,1502.1179958707726,1502.1179958707726,-4670.046870581087,0.0,-2224879.019732267
