start_date,end_date,dry_days,pi_slope_per_day,pi_start,pi_end,pi_drop,pi_recovery_after_rain,is_soiling,meter
2020-08-08,2020-10-16,61,0.000117,0.6127,1.4016,-0.7889,0.7978,False,solar.bun_cs1#realenergyintotheload#kwh
2020-10-18,2021-02-04,16,0.045974,1.1917,1.3288,-0.1371,0.7394,False,solar.bun_cs1#realenergyintotheload#kwh
2021-02-06,2021-02-22,10,0.03671,0.7083,1.2735,-0.5652,0.5982,False,solar.bun_cs1#realenergyintotheload#kwh
2021-03-24,2021-06-07,36,0.008442,0.7179,0.4688,0.2491,0.6301,False,solar.bun_cs1#realenergyintotheload#kwh
2021-06-11,2021-07-19,32,0.001987,0.6301,0.5683,0.0618,0.7419,False,solar.bun_cs1#realenergyintotheload#kwh
2021-07-22,2021-09-28,62,0.005881,0.7419,1.4654,-0.7235,0.5393,False,solar.bun_cs1#realenergyintotheload#kwh
2021-10-01,2021-10-28,17,-0.022462,1.8035,0.9798,0.8237,0.6669,True,solar.bun_cs1#realenergyintotheload#kwh
2021-11-13,2022-01-25,12,-0.047559,0.6669,1.305,-0.6381,0.9736,True,solar.bun_cs1#realenergyintotheload#kwh
2022-01-30,2022-02-14,15,0.001172,1.0473,1.2203,-0.173,0.425,False,solar.bun_cs1#realenergyintotheload#kwh
2022-03-16,2022-04-17,18,0.038488,0.425,1.2042,-0.7792,0.213,False,solar.bun_cs1#realenergyintotheload#kwh
2022-04-20,2022-05-26,17,-0.039532,1.068,0.406,0.662,0.7483,True,solar.bun_cs1#realenergyintotheload#kwh
2022-06-06,2022-07-16,35,0.004753,0.9221,0.4596,0.4625,0.7215,False,solar.bun_cs1#realenergyintotheload#kwh
2022-07-18,2022-08-28,29,0.002874,0.7215,1.0744,-0.3529,0.4439,False,solar.bun_cs1#realenergyintotheload#kwh
2022-08-30,2022-09-07,9,0.062593,0.4439,1.3641,-0.9202,0.5569,False,solar.bun_cs1#realenergyintotheload#kwh
2022-09-09,2022-09-26,18,0.029779,0.7826,0.6088,0.1738,0.6218,False,solar.bun_cs1#realenergyintotheload#kwh
2022-09-28,2022-10-04,5,0.317302,0.3447,0.7366,-0.3919,0.2976,False,solar.bun_cs1#realenergyintotheload#kwh
2022-10-08,2022-10-18,9,0.046987,0.7934,1.0686,-0.2752,0.6808,False,solar.bun_cs1#realenergyintotheload#kwh
2022-10-25,2023-06-06,53,0.001398,0.8763,0.3282,0.5481,1.1236,False,solar.bun_cs1#realenergyintotheload#kwh
2023-06-08,2023-06-22,10,0.017363,1.2649,0.9504,0.3145,0.4295,False,solar.bun_cs1#realenergyintotheload#kwh
2023-06-24,2023-08-21,39,0.014332,1.1003,1.3874,-0.2871,0.9253,False,solar.bun_cs1#realenergyintotheload#kwh
2023-08-23,2023-09-30,29,0.021918,0.9253,1.2894,-0.364,0.685,False,solar.bun_cs1#realenergyintotheload#kwh
2023-10-06,2024-01-16,18,-0.064386,0.685,0.3827,0.3023,1.202,True,solar.bun_cs1#realenergyintotheload#kwh
2024-01-18,2024-11-16,114,-0.001437,1.2237,1.3973,-0.1736,0.5796,False,solar.bun_cs1#realenergyintotheload#kwh
2024-11-18,2024-11-23,6,0.055912,0.9524,0.9733,-0.0209,0.2339,False,solar.bun_cs1#realenergyintotheload#kwh
2024-12-02,2025-01-05,35,0.002841,1.22,0.6864,0.5335,1.1343,False,solar.bun_cs1#realenergyintotheload#kwh
2025-01-07,2025-03-15,63,-0.003854,1.3448,0.7634,0.5814,0.9098,True,solar.bun_cs1#realenergyintotheload#kwh
2025-03-21,2025-06-07,78,-0.000471,0.4831,0.5938,-0.1107,0.4509,False,solar.bun_cs1#realenergyintotheload#kwh
2025-06-09,2025-07-21,31,0.002817,0.4509,0.8792,-0.4283,0.5598,False,solar.bun_cs1#realenergyintotheload#kwh
2025-07-27,2025-08-12,13,0.037319,0.5598,0.6849,-0.1251,,False,solar.bun_cs1#realenergyintotheload#kwh
2020-07-10,2020-08-06,16,0.047718,1.2326,0.8438,0.3889,0.6889,False,solar.bun_dmw#realenergyintotheload#kwh
2020-08-08,2020-10-16,61,0.001207,0.6889,1.57,-0.8811,1.0914,False,solar.bun_dmw#realenergyintotheload#kwh
2020-10-18,2021-02-04,16,0.041504,1.3161,1.3352,-0.0191,0.8374,False,solar.bun_dmw#realenergyintotheload#kwh
2021-02-06,2021-02-22,11,0.030601,0.8301,1.1412,-0.3111,0.666,False,solar.bun_dmw#realenergyintotheload#kwh
2021-03-24,2021-06-07,37,0.005326,0.7524,0.5136,0.2388,0.6489,False,solar.bun_dmw#realenergyintotheload#kwh
2021-06-11,2021-07-19,32,0.003486,0.6489,0.5894,0.0596,0.7922,False,solar.bun_dmw#realenergyintotheload#kwh
2021-07-22,2021-09-28,62,0.006922,0.7922,1.6456,-0.8534,0.5892,False,solar.bun_dmw#realenergyintotheload#kwh
2021-10-01,2021-10-28,18,-0.022356,1.7877,1.0745,0.7132,0.7184,True,solar.bun_dmw#realenergyintotheload#kwh
2021-11-13,2022-01-25,10,0.045883,0.7184,1.4684,-0.75,1.1558,False,solar.bun_dmw#realenergyintotheload#kwh
2022-01-30,2022-02-14,15,0.005829,1.2558,1.3965,-0.1407,0.4938,False,solar.bun_dmw#realenergyintotheload#kwh
2022-03-16,2022-04-17,18,0.045321,0.4938,1.3531,-0.8594,0.2206,False,solar.bun_dmw#realenergyintotheload#kwh
2022-04-20,2022-05-26,17,-0.057255,1.1145,0.4611,0.6534,0.746,True,solar.bun_dmw#realenergyintotheload#kwh
2022-06-06,2022-07-16,34,0.007596,1.0767,0.3226,0.7541,0.826,False,solar.bun_dmw#realenergyintotheload#kwh
2022-07-18,2022-08-28,28,0.001522,0.7948,1.15,-0.3551,0.4227,False,solar.bun_dmw#realenergyintotheload#kwh
2022-08-30,2022-09-07,9,0.067532,0.4227,1.4097,-0.987,0.6734,False,solar.bun_dmw#realenergyintotheload#kwh
2022-09-09,2022-09-26,18,0.028504,0.8947,0.6448,0.2499,0.631,False,solar.bun_dmw#realenergyintotheload#kwh
2022-09-28,2022-10-04,5,0.301494,0.4081,0.8425,-0.4345,0.3177,False,solar.bun_dmw#realenergyintotheload#kwh
2022-10-08,2022-10-18,8,0.074299,0.8773,1.3417,-0.4645,0.7989,False,solar.bun_dmw#realenergyintotheload#kwh
2022-10-25,2023-06-05,50,0.000951,1.1506,1.1399,0.0107,0.6906,False,solar.bun_dmw#realenergyintotheload#kwh
2023-06-11,2023-08-21,48,0.008977,1.1142,1.5872,-0.4729,1.0501,False,solar.bun_dmw#realenergyintotheload#kwh
2023-08-23,2023-09-30,29,0.021567,1.0501,1.4015,-0.3514,0.8225,False,solar.bun_dmw#realenergyintotheload#kwh
2023-10-06,2023-12-11,10,-0.065338,0.8225,0.2054,0.617,0.4458,True,solar.bun_dmw#realenergyintotheload#kwh
2024-01-24,2024-11-16,97,0.000815,1.459,1.5975,-0.1386,1.0641,False,solar.bun_dmw#realenergyintotheload#kwh
2024-11-18,2024-11-23,6,-0.055162,1.0641,0.8433,0.2209,0.1496,True,solar.bun_dmw#realenergyintotheload#kwh
2024-12-01,2025-01-05,36,0.0,0.0,0.0,-0.0,0.0,False,solar.bun_dmw#realenergyintotheload#kwh
2025-01-07,2025-03-15,65,0.018082,0.0,0.8147,-0.8147,1.0935,False,solar.bun_dmw#realenergyintotheload#kwh
2025-03-21,2025-06-07,79,-0.002829,0.4972,0.699,-0.2018,0.4082,True,solar.bun_dmw#realenergyintotheload#kwh
2025-06-09,2025-07-21,31,-0.004772,0.4082,0.97,-0.5618,0.5037,True,solar.bun_dmw#realenergyintotheload#kwh
2025-07-27,2025-08-12,13,0.041886,0.5037,0.6457,-0.142,,False,solar.bun_dmw#realenergyintotheload#kwh
2020-05-13,2020-08-06,22,-0.050418,0.0052,0.7815,-0.7763,0.6119,True,solar.bun_dw#realenergyintotheload#kwh
2020-08-08,2020-10-16,61,0.000659,0.6119,1.2534,-0.6414,0.924,False,solar.bun_dw#realenergyintotheload#kwh
2020-10-18,2021-02-04,17,0.035769,1.1817,1.1886,-0.0069,0.7178,False,solar.bun_dw#realenergyintotheload#kwh
2021-02-06,2021-02-17,9,0.031693,0.7094,1.4076,-0.6981,0.5782,False,solar.bun_dw#realenergyintotheload#kwh
2021-03-24,2021-06-07,36,0.00497,0.6887,0.4119,0.2768,0.6071,False,solar.bun_dw#realenergyintotheload#kwh
2021-06-11,2021-09-28,94,0.004342,0.6071,1.3569,-0.7498,0.5478,False,solar.bun_dw#realenergyintotheload#kwh
