year_month,PI,meter,month_ts
2020-03,4.6468427396052505e-05,solar.bun_hu3#realenergyintotheload#kwh,2020-03-01
2020-04,4.6468427396052505e-05,solar.bun_hu3#realenergyintotheload#kwh,2020-04-01
2020-05,0.00031884155774848926,solar.bun_hu3#realenergyintotheload#kwh,2020-05-01
2020-06,2.962695470866769,solar.bun_hu3#realenergyintotheload#kwh,2020-06-01
2020-07,0.8641037571166345,solar.bun_hu3#realenergyintotheload#kwh,2020-07-01
2020-08,1.2874255727140445,solar.bun_hu3#realenergyintotheload#kwh,2020-08-01
2020-09,1.4739620799668096,solar.bun_hu3#realenergyintotheload#kwh,2020-09-01
2020-10,1.2523383752904602,solar.bun_hu3#realenergyintotheload#kwh,2020-10-01
2020-11,0.5607418897889085,solar.bun_hu3#realenergyintotheload#kwh,2020-11-01
2020-12,1.0883900044586676,solar.bun_hu3#realenergyintotheload#kwh,2020-12-01
2021-01,0.8426804183762716,solar.bun_hu3#realenergyintotheload#kwh,2021-01-01
2021-02,1.3510359369854954,solar.bun_hu3#realenergyintotheload#kwh,2021-02-01
2021-03,0.6142456252713625,solar.bun_hu3#realenergyintotheload#kwh,2021-03-01
2021-04,1.0817829386932898,solar.bun_hu3#realenergyintotheload#kwh,2021-04-01
2021-05,1.8360350397110354,solar.bun_hu3#realenergyintotheload#kwh,2021-05-01
2021-06,0.9263035656340066,solar.bun_hu3#realenergyintotheload#kwh,2021-06-01
2021-07,1.003749112164824,solar.bun_hu3#realenergyintotheload#kwh,2021-07-01
2021-08,1.2430975634018029,solar.bun_hu3#realenergyintotheload#kwh,2021-08-01
2021-09,1.410297910585802,solar.bun_hu3#realenergyintotheload#kwh,2021-09-01
2021-10,1.347074466689163,solar.bun_hu3#realenergyintotheload#kwh,2021-10-01
2021-11,0.7458315834731276,solar.bun_hu3#realenergyintotheload#kwh,2021-11-01
2021-12,0.8526867842883097,solar.bun_hu3#realenergyintotheload#kwh,2021-12-01
2022-01,0.7857969446542757,solar.bun_hu3#realenergyintotheload#kwh,2022-01-01
2022-02,0.9732111796006477,solar.bun_hu3#realenergyintotheload#kwh,2022-02-01
2022-03,0.35815502579116737,solar.bun_hu3#realenergyintotheload#kwh,2022-03-01
2022-04,0.9988315825332967,solar.bun_hu3#realenergyintotheload#kwh,2022-04-01
2022-05,1.0066959721232926,solar.bun_hu3#realenergyintotheload#kwh,2022-05-01
2022-06,0.8913206043503772,solar.bun_hu3#realenergyintotheload#kwh,2022-06-01
2022-07,1.0263194924554202,solar.bun_hu3#realenergyintotheload#kwh,2022-07-01
2022-08,1.195607623542819,solar.bun_hu3#realenergyintotheload#kwh,2022-08-01
2022-09,0.92803564539475,solar.bun_hu3#realenergyintotheload#kwh,2022-09-01
2022-10,1.082460690929379,solar.bun_hu3#realenergyintotheload#kwh,2022-10-01
2022-11,0.761833223057954,solar.bun_hu3#realenergyintotheload#kwh,2022-11-01
2022-12,0.37791202139027447,solar.bun_hu3#realenergyintotheload#kwh,2022-12-01
2023-01,0.9319672148794392,solar.bun_hu3#realenergyintotheload#kwh,2023-01-01
2023-02,1.2950297834825117,solar.bun_hu3#realenergyintotheload#kwh,2023-02-01
2023-03,0.5336882119394266,solar.bun_hu3#realenergyintotheload#kwh,2023-03-01
2023-04,1.4292521606083748,solar.bun_hu3#realenergyintotheload#kwh,2023-04-01
2023-05,0.7504621828744409,solar.bun_hu3#realenergyintotheload#kwh,2023-05-01
2023-06,0.7747162577774299,solar.bun_hu3#realenergyintotheload#kwh,2023-06-01
2023-07,0.9776708651398083,solar.bun_hu3#realenergyintotheload#kwh,2023-07-01
2023-08,1.0547243903756978,solar.bun_hu3#realenergyintotheload#kwh,2023-08-01
